PM_I
Vehicle, Governing Inventory Rating, Section, DL0, DL1, DL2, SIDL, LLMax, LLMin, CAP
TANDEM,1.7209057339894882,SC_0192,1032601.505577582,4816614.328228021,0.0,0.0,8832419.284699827,2.4939095083577202e-11,33911101.52832572
NM_I
Vehicle, Governing Inventory Rating, Section, DL0, DL1, DL2, SIDL, LLMax, LLMin, CAP
TANDEM,3.3136027344078567,SC_0075,609.4667098443689,-2378.0162714320477,0.0,0.0,2967679.500802392,-2109152.9443926504,-14373351.962632025
V_I
Vehicle, Governing Inventory Rating, Section, DL0, DL1, DL2, SIDL, LLMax, LLMin, CAP
TANDEM,3.262621511698677,SC_0060,-5007.913956620272,-23865.499518138677,0.0,0.0,2.8625680046192666e-12,-60258.93821410423,380145.45600000006
PS_I
Vehicle, Governing Inventory Rating, Section, DL0, DL1, DL2, SIDL, LLMax, LLMin, CAP
TANDEM,2.129967706628152,SC_0192,1032601.505577582,4816614.328228021,0.0,0.0,8832419.284699827,2.4939095083577202e-11,34200.0
NS_I
Vehicle, Governing Inventory Rating, Section, DL0, DL1, DL2, SIDL, LLMax, LLMin, CAP
TANDEM,8.931380125374131,SC_0075,609.4667098443689,-2378.0162714320477,0.0,0.0,2967679.500802392,-2109152.9443926504,34200.0
